Custcode,Partno,Brand,Areano,Dnno,qty,amt,cost,profit,gp,sales,months,place,type
10001,10001,10001,1013,2074,3500,7436.86,6238.8305,1198.0295,0.16 ,10001,42,10001,0
10001,10001,10001,1013,2074,3500,7435.22,6238.827,1196.393,0.16 ,10001,42,10001,0
10002,10001,10001,1005,1124,3500,7436.85,6238.8305,1198.0195,0.16 ,10002,41,10002,0
10002,10001,10001,1005,1124,3500,7435.22,6238.827,1196.393,0.16 ,10002,41,10002,0
10003,10001,10001,1002,1241,3500,7436.85,6238.8305,1198.0195,0.16 ,10001,42,10001,0
10003,10001,10001,1002,1241,3500,7435.21,6238.827,1196.383,0.16 ,10001,42,10001,0
10001,10001,10001,1013,2074,7000,14870.45,12477.661,2392.789,0.16 ,10001,42,10001,0
10001,10001,10001,1013,2074,3500,7435.22,5754.063,1681.157,0.23 ,10001,42,10001,0
10001,10001,10001,1013,2074,24500,52046.56,43671.8135,8374.7465,0.16 ,10001,42,10001,0
10001,10001,10001,1013,2074,7000,14870.45,12477.668,2392.782,0.16 ,10001,42,10001,0
10001,10001,10001,1013,2074,3500,7435.22,6238.827,1196.393,0.16 ,10001,42,10001,0
10001,10001,10001,1013,2074,24500,52046.56,43671.8135,8374.7465,0.16 ,10001,42,10001,0
10004,10001,10001,1014,1510,7000,14870.45,12477.668,2392.782,0.16 ,10001,42,10001,0
10004,10001,10001,1014,1510,3500,6783.96,6238.8375,545.1225,0.08 ,10001,42,10001,1
10004,10001,10001,1014,1510,3500,6783.96,5754.0595,1029.9005,0.15 ,10001,42,10001,0
10004,10001,10001,1014,1510,7000,14870.45,12477.661,2392.789,0.16 ,10001,42,10001,0
10004,10001,10001,1014,1510,3500,6783.96,6238.8305,545.1295,0.08 ,10001,42,10001,1
10004,10001,10001,1014,1510,3500,6783.96,6238.8305,545.1295,0.08 ,10001,42,10001,1
10002,10001,10001,1005,1124,3500,7435.22,5754.0595,1681.1605,0.23 ,10002,41,10002,0
10002,10001,10001,1005,1124,3500,7435.22,5754.0595,1681.1605,0.23 ,10002,41,10002,0
10002,10001,10001,1005,1124,3500,7435.22,5754.063,1681.157,0.23 ,10002,41,10002,0
10002,10001,10001,1005,1124,3500,7435.22,5754.063,1681.157,0.23 ,10002,41,10002,0
10003,10001,10001,1002,1241,3500,7435.22,5754.063,1681.157,0.23 ,10001,42,10001,0
10001,10001,10001,1013,2074,17500,37176.11,28770.2975,8405.8125,0.23 ,10002,41,10002,0
10001,10001,10001,1013,2074,10500,20351.89,17262.189,3089.701,0.15 ,10002,41,10002,0
10001,10001,10001,1013,2074,14000,27135.85,23016.238,4119.612,0.15 ,10002,41,10002,0
10001,10001,10001,1013,2074,28000,54271.7,46032.476,8239.224,0.15 ,10002,41,10002,0
10001,10001,10001,1013,2074,21000,40703.78,34524.357,6179.423,0.15 ,10002,41,10002,0
10001,10001,10001,1013,2074,7000,13567.93,11508.119,2059.811,0.15 ,10002,41,10002,0
10001,10001,10001,1013,2074,17500,37176.11,28770.315,8405.795,0.23 ,10002,41,10002,0
10001,10001,10001,1013,2074,10500,20351.89,17262.189,3089.701,0.15 ,10002,41,10002,0
10001,10001,10001,1013,2074,14000,27135.85,23016.252,4119.598,0.15 ,10002,41,10002,0
10001,10001,10001,1013,2074,28000,54271.7,46032.504,8239.196,0.15 ,10002,41,10002,0
10001,10001,10001,1013,2074,21000,40703.78,34524.378,6179.402,0.15 ,10002,41,10002,0
10001,10001,10001,1013,2074,7000,13567.93,11508.126,2059.804,0.15 ,10002,41,10002,0
10003,10001,10001,1002,1241,3500,7435.22,5754.0595,1681.1605,0.23 ,10001,42,10001,0
10001,10001,10001,1013,2074,10500,20351.89,17262.189,3089.701,0.15 ,10002,41,10002,0
10001,10001,10001,1013,2074,17500,33919.81,28770.2975,5149.5125,0.15 ,10002,41,10002,0
10001,10001,10001,1013,2074,49000,94975.48,80556.833,14418.647,0.15 ,10002,41,10002,0
10001,10001,10001,1013,2074,3500,6783.96,5754.0595,1029.9005,0.15 ,10002,41,10002,0
10001,10001,10001,1013,2074,10500,20351.89,17262.189,3089.701,0.15 ,10002,41,10002,0
10001,10001,10001,1013,2074,17500,33919.81,28770.315,5149.495,0.15 ,10002,41,10002,0
10001,10001,10001,1013,2074,49000,94975.48,80556.882,14418.598,0.15 ,10002,41,10002,0
10001,10001,10001,1013,2074,3500,6783.96,5754.063,1029.897,0.15 ,10002,41,10002,0
10001,10001,10001,1013,2074,7000,13567.93,11508.126,2059.804,0.15 ,10002,41,10002,0
10001,10001,10001,1013,2074,66500,128891.96,109300.331,19591.629,0.15 ,10002,42,10002,0
10003,10001,10001,1002,1241,7000,13567.58,11505.298,2062.282,0.15 ,10002,43,10002,0
10001,10001,10001,1013,2074,3500,6783.79,5752.649,1031.141,0.15 ,10002,43,10002,0
10001,10001,10001,1013,2074,10500,20351.36,17257.9575,3093.4025,0.15 ,10002,43,10002,0
10001,10001,10001,1013,2074,17500,33918.94,28763.245,5155.695,0.15 ,10002,43,10002,0
10001,10001,10001,1013,2074,17500,33918.94,28763.245,5155.695,0.15 ,10002,43,10002,0
10001,10001,10001,1013,2074,17500,33918.94,28763.245,5155.695,0.15 ,10002,43,10002,0
10001,10001,10001,1013,2074,7000,13567.58,11505.298,2062.282,0.15 ,10002,43,10002,0
10002,10001,10001,1005,1124,14000,27135.15,23010.61,4124.54,0.15 ,10002,43,10002,0
10002,10001,10001,1005,1124,3500,6783.79,5752.649,1031.141,0.15 ,10002,43,10002,0
10002,10001,10001,1005,1124,7000,13567.58,11505.298,2062.282,0.15 ,10002,43,10002,0
10002,10001,10001,1005,1124,10500,20351.36,17257.9575,3093.4025,0.15 ,10002,43,10002,0
10002,10001,10001,1005,1124,3500,6783.79,5752.649,1031.141,0.15 ,10002,43,10002,0
10004,10001,10001,1006,61,7000,13572.83,11505.298,2067.532,0.15 ,10001,44,10001,0
10004,10001,10001,1006,61,10500,20359.24,17257.9575,3101.2825,0.15 ,10001,44,10001,0
10001,10001,10001,1013,2074,14000,27145.65,23010.61,4135.04,0.15 ,10001,44,10001,0
10001,10001,10001,1013,2074,31500,61077.71,50230.3095,10847.4005,0.18 ,10001,44,10001,0
10001,10001,10001,1013,2074,49000,95009.78,78136.037,16873.743,0.18 ,10001,44,10001,0
10005,10002,10002,1006,975,9500,9283.81,9005.297,278.513,0.03 ,10003,9,10003,0
10001,10001,10001,1013,2074,87500,169660.31,139528.6375,30131.6725,0.18 ,10002,43,10002,0
10001,10001,10001,1013,2074,14000,27145.65,22324.568,4821.082,0.18 ,10002,43,10002,0
10001,10001,10001,1013,2074,49000,95009.78,78136.037,16873.743,0.18 ,10002,43,10002,0
10003,10001,10001,1002,1241,3500,6786.41,5581.149,1205.261,0.18 ,10002,44,10002,0
10001,10001,10001,1013,2074,14000,27145.65,22324.568,4821.082,0.18 ,10002,44,10002,0
10001,10001,10001,1013,2074,77000,149301.08,122785.124,26515.956,0.18 ,10002,44,10002,0
10001,10001,10001,1013,2074,24500,47504.89,39068.0185,8436.8715,0.18 ,10002,44,10002,0
10004,10001,10001,1006,61,7000,13569.5,11162.284,2407.216,0.18 ,10001,45,10001,0
10004,10001,10001,1006,61,3500,6784.75,5581.149,1203.601,0.18 ,10001,45,10001,0
10004,10001,10001,1006,61,3500,6784.75,5581.149,1203.601,0.18 ,10001,45,10001,0
10001,10001,10001,1013,2074,24500,47493.25,39067.994,8425.256,0.18 ,10002,44,10002,0
10001,10001,10001,1013,2074,3500,6784.74,5581.149,1203.591,0.18 ,10002,44,10002,0
10006,10002,10002,1013,993,570,662.97,640.8698,22.1002,0.03 ,10004,123,10003,0
10005,10002,10002,1002,1404,9500,9281.54,9005.297,276.243,0.03 ,10003,10,10003,1
10001,10001,10001,1013,2074,28000,54278,44649.164,9628.836,0.18 ,10002,44,10002,0
10001,10001,10001,1013,2074,17500,33923.75,27905.7275,6018.0225,0.18 ,10002,44,10002,0
